Country,Continent,Risk Score,Advisory Message,Last Updated,Source,Recommendation,Details
Iran,AS,4.5,Iran has a current risk level of 4.5 (out of 5). We advise: It is not safe to travel Iran.,2024-08-13 08:21:03,https://www.travel-advisory.info/iran,Not Recommended for Travel,Iran has a current risk level of 4.5 (out of 5). We advise: It is not safe to travel Iran.
Iceland,EU,2.8,Iceland has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Iceland.,2024-08-13 08:21:03,https://www.travel-advisory.info/iceland,Travel with Caution,Iceland has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Iceland.
Italy,EU,3.0,Italy has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Italy.,2024-08-13 08:21:03,https://www.travel-advisory.info/italy,Travel with Caution,Italy has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Italy.
Jersey,EU,0.0,Jersey has a current risk level of 0 (out of 5). We advise: Travelling Jersey is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/jersey,Safe to Travel,Jersey has a current risk level of 0 (out of 5). We advise: Travelling Jersey is (relatively) safe.
Jamaica,,3.8,Jamaica has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Jamaica.,2024-08-13 08:21:03,https://www.travel-advisory.info/jamaica,Travel with Caution,Jamaica has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Jamaica.
Jordan,AS,3.2,Jordan has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Jordan.,2024-08-13 08:21:03,https://www.travel-advisory.info/jordan,Travel with Caution,Jordan has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Jordan.
Japan,AS,2.8,Japan has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Japan.,2024-08-13 08:21:03,https://www.travel-advisory.info/japan,Travel with Caution,Japan has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Japan.
Kenya,AF,3.1,Kenya has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Kenya.,2024-08-13 08:21:03,https://www.travel-advisory.info/kenya,Travel with Caution,Kenya has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Kenya.
Kyrgyzstan,AS,2.3,Kyrgyzstan has a current risk level of 2.3 (out of 5). We advise: Travelling Kyrgyzstan is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/kyrgyzstan,Travel with Caution,Kyrgyzstan has a current risk level of 2.3 (out of 5). We advise: Travelling Kyrgyzstan is (relatively) safe.
Cambodia,AS,3.0,Cambodia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Cambodia.,2024-08-13 08:21:03,https://www.travel-advisory.info/cambodia,Travel with Caution,Cambodia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Cambodia.
Kiribati,OC,1.0,Kiribati has a current risk level of 1 (out of 5). We advise: Travelling Kiribati is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/kiribati,Safe to Travel,Kiribati has a current risk level of 1 (out of 5). We advise: Travelling Kiribati is (relatively) safe.
Comoros,AF,3.0,Comoros has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Comoros.,2024-08-13 08:21:03,https://www.travel-advisory.info/comoros,Travel with Caution,Comoros has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Comoros.
Saint Kitts and Nevis,,2.5,Saint Kitts and Nevis has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Kitts and Nevis.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-kitts-and-nevis,Travel with Caution,Saint Kitts and Nevis has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Kitts and Nevis.
North Korea,AS,4.4,North Korea has a current risk level of 4.4 (out of 5). We advise: Please reconsider your need to travel to North Korea.,2024-08-13 08:21:03,https://www.travel-advisory.info/north-korea,Not Recommended for Travel,North Korea has a current risk level of 4.4 (out of 5). We advise: Please reconsider your need to travel to North Korea.
South Korea,AS,2.3,South Korea has a current risk level of 2.3 (out of 5). We advise: Travelling South Korea is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-korea,Travel with Caution,South Korea has a current risk level of 2.3 (out of 5). We advise: Travelling South Korea is (relatively) safe.
Kuwait,AS,3.2,Kuwait has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Kuwait.,2024-08-13 08:21:03,https://www.travel-advisory.info/kuwait,Travel with Caution,Kuwait has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Kuwait.
Cayman Islands,,2.5,Cayman Islands has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Cayman Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/cayman-islands,Travel with Caution,Cayman Islands has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Cayman Islands.
Kazakhstan,AS,3.0,Kazakhstan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Kazakhstan.,2024-08-13 08:21:03,https://www.travel-advisory.info/kazakhstan,Travel with Caution,Kazakhstan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Kazakhstan.
Laos,AS,3.0,Laos has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Laos.,2024-08-13 08:21:03,https://www.travel-advisory.info/laos,Travel with Caution,Laos has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Laos.
Lebanon,AS,4.2,Lebanon has a current risk level of 4.2 (out of 5). We advise: Please reconsider your need to travel to Lebanon.,2024-08-13 08:21:03,https://www.travel-advisory.info/lebanon,Not Recommended for Travel,Lebanon has a current risk level of 4.2 (out of 5). We advise: Please reconsider your need to travel to Lebanon.
Saint Lucia,,2.5,Saint Lucia has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Lucia.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-lucia,Travel with Caution,Saint Lucia has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Lucia.
Liechtenstein,EU,2.3,Liechtenstein has a current risk level of 2.3 (out of 5). We advise: Travelling Liechtenstein is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/liechtenstein,Travel with Caution,Liechtenstein has a current risk level of 2.3 (out of 5). We advise: Travelling Liechtenstein is (relatively) safe.
Sri Lanka,AS,3.1,Sri Lanka has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Sri Lanka.,2024-08-13 08:21:03,https://www.travel-advisory.info/sri-lanka,Travel with Caution,Sri Lanka has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Sri Lanka.
Liberia,AF,3.5,Liberia has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Liberia.,2024-08-13 08:21:03,https://www.travel-advisory.info/liberia,Travel with Caution,Liberia has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Liberia.
Lesotho,AF,3.0,Lesotho has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Lesotho.,2024-08-13 08:21:03,https://www.travel-advisory.info/lesotho,Travel with Caution,Lesotho has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Lesotho.
Lithuania,EU,2.6,Lithuania has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Lithuania.,2024-08-13 08:21:03,https://www.travel-advisory.info/lithuania,Travel with Caution,Lithuania has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Lithuania.
Luxembourg,EU,2.3,Luxembourg has a current risk level of 2.3 (out of 5). We advise: Travelling Luxembourg is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/luxembourg,Travel with Caution,Luxembourg has a current risk level of 2.3 (out of 5). We advise: Travelling Luxembourg is (relatively) safe.
Latvia,EU,2.6,Latvia has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Latvia.,2024-08-13 08:21:03,https://www.travel-advisory.info/latvia,Travel with Caution,Latvia has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Latvia.
Libya,AF,5.0,Libya has a current risk level of 5 (out of 5). We advise: It is not safe to travel Libya.,2024-08-13 08:21:03,https://www.travel-advisory.info/libya,Not Recommended for Travel,Libya has a current risk level of 5 (out of 5). We advise: It is not safe to travel Libya.
Morocco,AF,3.0,Morocco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Morocco.,2024-08-13 08:21:03,https://www.travel-advisory.info/morocco,Travel with Caution,Morocco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Morocco.
Monaco,EU,3.0,Monaco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Monaco.,2024-08-13 08:21:03,https://www.travel-advisory.info/monaco,Travel with Caution,Monaco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Monaco.
Moldova,EU,3.0,Moldova has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Moldova.,2024-08-13 08:21:03,https://www.travel-advisory.info/moldova,Travel with Caution,Moldova has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Moldova.
Montenegro,EU,3.2,Montenegro has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Montenegro.,2024-08-13 08:21:03,https://www.travel-advisory.info/montenegro,Travel with Caution,Montenegro has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Montenegro.
Saint Martin,,0.0,Saint Martin has a current risk level of 0 (out of 5). We advise: Travelling Saint Martin is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-martin,Safe to Travel,Saint Martin has a current risk level of 0 (out of 5). We advise: Travelling Saint Martin is (relatively) safe.
Madagascar,AF,3.0,Madagascar has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Madagascar.,2024-08-13 08:21:03,https://www.travel-advisory.info/madagascar,Travel with Caution,Madagascar has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Madagascar.
Marshall Islands,OC,3.0,Marshall Islands has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Marshall Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/marshall-islands,Travel with Caution,Marshall Islands has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Marshall Islands.
Macedonia,EU,2.3,Macedonia has a current risk level of 2.3 (out of 5). We advise: Travelling Macedonia is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/macedonia,Travel with Caution,Macedonia has a current risk level of 2.3 (out of 5). We advise: Travelling Macedonia is (relatively) safe.
Mali,AF,4.6,Mali has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Mali.,2024-08-13 08:21:03,https://www.travel-advisory.info/mali,Not Recommended for Travel,Mali has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Mali.
Myanmar,AS,4.6,Myanmar has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Myanmar.,2024-08-13 08:21:03,https://www.travel-advisory.info/myanmar,Not Recommended for Travel,Myanmar has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Myanmar.
Mongolia,AS,2.8,Mongolia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Mongolia.,2024-08-13 08:21:03,https://www.travel-advisory.info/mongolia,Travel with Caution,Mongolia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Mongolia.
Macao,AS,3.0,Macao has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Macao.,2024-08-13 08:21:03,https://www.travel-advisory.info/macao,Travel with Caution,Macao has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Macao.
Northern Mariana Islands,OC,0.0,Northern Mariana Islands has a current risk level of 0 (out of 5). We advise: Travelling Northern Mariana Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/northern-mariana-islands,Safe to Travel,Northern Mariana Islands has a current risk level of 0 (out of 5). We advise: Travelling Northern Mariana Islands is (relatively) safe.
Martinique,,4.0,Martinique has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Martinique.,2024-08-13 08:21:03,https://www.travel-advisory.info/martinique,Not Recommended for Travel,Martinique has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Martinique.
Mauritania,AF,3.8,Mauritania has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Mauritania.,2024-08-13 08:21:03,https://www.travel-advisory.info/mauritania,Travel with Caution,Mauritania has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Mauritania.
Montserrat,,2.5,Montserrat has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Montserrat.,2024-08-13 08:21:03,https://www.travel-advisory.info/montserrat,Travel with Caution,Montserrat has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Montserrat.
Malta,EU,3.0,Malta has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malta.,2024-08-13 08:21:03,https://www.travel-advisory.info/malta,Travel with Caution,Malta has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malta.
Mauritius,AF,3.0,Mauritius has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mauritius.,2024-08-13 08:21:03,https://www.travel-advisory.info/mauritius,Travel with Caution,Mauritius has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mauritius.
Maldives,AS,3.4,Maldives has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Maldives.,2024-08-13 08:21:03,https://www.travel-advisory.info/maldives,Travel with Caution,Maldives has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Maldives.
Malawi,AF,3.0,Malawi has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malawi.,2024-08-13 08:21:03,https://www.travel-advisory.info/malawi,Travel with Caution,Malawi has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malawi.
Mexico,,3.6,Mexico has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Mexico.,2024-08-13 08:21:03,https://www.travel-advisory.info/mexico,Travel with Caution,Mexico has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Mexico.
Malaysia,AS,2.8,Malaysia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Malaysia.,2024-08-13 08:21:03,https://www.travel-advisory.info/malaysia,Travel with Caution,Malaysia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Malaysia.
Mozambique,AF,3.0,Mozambique has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mozambique.,2024-08-13 08:21:03,https://www.travel-advisory.info/mozambique,Travel with Caution,Mozambique has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mozambique.
Namibia,AF,3.0,Namibia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Namibia.,2024-08-13 08:21:03,https://www.travel-advisory.info/namibia,Travel with Caution,Namibia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Namibia.
New Caledonia,OC,4.0,New Caledonia has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to New Caledonia.,2024-08-13 08:21:03,https://www.travel-advisory.info/new-caledonia,Not Recommended for Travel,New Caledonia has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to New Caledonia.
Niger,AF,4.7,Niger has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Niger.,2024-08-13 08:21:03,https://www.travel-advisory.info/niger,Not Recommended for Travel,Niger has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Niger.
Norfolk Island,OC,0.0,Norfolk Island has a current risk level of 0 (out of 5). We advise: Travelling Norfolk Island is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/norfolk-island,Safe to Travel,Norfolk Island has a current risk level of 0 (out of 5). We advise: Travelling Norfolk Island is (relatively) safe.
Nigeria,AF,3.8,Nigeria has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Nigeria.,2024-08-13 08:21:03,https://www.travel-advisory.info/nigeria,Travel with Caution,Nigeria has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Nigeria.
Nicaragua,,3.6,Nicaragua has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Nicaragua.,2024-08-13 08:21:03,https://www.travel-advisory.info/nicaragua,Travel with Caution,Nicaragua has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Nicaragua.
Netherlands,EU,3.3,Netherlands has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Netherlands.,2024-08-13 08:21:03,https://www.travel-advisory.info/netherlands,Travel with Caution,Netherlands has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Netherlands.
Norway,EU,2.8,Norway has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Norway.,2024-08-13 08:21:03,https://www.travel-advisory.info/norway,Travel with Caution,Norway has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Norway.
Nepal,AS,3.3,Nepal has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Nepal.,2024-08-13 08:21:03,https://www.travel-advisory.info/nepal,Travel with Caution,Nepal has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Nepal.
Niue,OC,0.0,Niue has a current risk level of 0 (out of 5). We advise: Travelling Niue is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/niue,Safe to Travel,Niue has a current risk level of 0 (out of 5). We advise: Travelling Niue is (relatively) safe.
New Zealand,OC,3.0,New Zealand has a current risk level of 3 (out of 5). We advise: Use some caution when travelling New Zealand.,2024-08-13 08:21:03,https://www.travel-advisory.info/new-zealand,Travel with Caution,New Zealand has a current risk level of 3 (out of 5). We advise: Use some caution when travelling New Zealand.
Oman,AS,3.0,Oman has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Oman.,2024-08-13 08:21:03,https://www.travel-advisory.info/oman,Travel with Caution,Oman has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Oman.
Panama,,3.0,Panama has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Panama.,2024-08-13 08:21:03,https://www.travel-advisory.info/panama,Travel with Caution,Panama has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Panama.
Peru,SA,3.3,Peru has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Peru.,2024-08-13 08:21:03,https://www.travel-advisory.info/peru,Travel with Caution,Peru has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Peru.
French Polynesia,OC,3.0,French Polynesia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling French Polynesia.,2024-08-13 08:21:03,https://www.travel-advisory.info/french-polynesia,Travel with Caution,French Polynesia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling French Polynesia.
Papua New Guinea,OC,3.8,Papua New Guinea has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Papua New Guinea.,2024-08-13 08:21:03,https://www.travel-advisory.info/papua-new-guinea,Travel with Caution,Papua New Guinea has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Papua New Guinea.
Philippines,AS,3.1,Philippines has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Philippines.,2024-08-13 08:21:03,https://www.travel-advisory.info/philippines,Travel with Caution,Philippines has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Philippines.
Pakistan,AS,3.8,Pakistan has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Pakistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/pakistan,Travel with Caution,Pakistan has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Pakistan.
Poland,EU,2.8,Poland has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Poland.,2024-08-13 08:21:03,https://www.travel-advisory.info/poland,Travel with Caution,Poland has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Poland.
Saint Pierre and Miquelon,,0.0,Saint Pierre and Miquelon has a current risk level of 0 (out of 5). We advise: Travelling Saint Pierre and Miquelon is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-pierre-and-miquelon,Safe to Travel,Saint Pierre and Miquelon has a current risk level of 0 (out of 5). We advise: Travelling Saint Pierre and Miquelon is (relatively) safe.
Pitcairn,OC,0.0,Pitcairn has a current risk level of 0 (out of 5). We advise: Travelling Pitcairn is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/pitcairn,Safe to Travel,Pitcairn has a current risk level of 0 (out of 5). We advise: Travelling Pitcairn is (relatively) safe.
Puerto Rico,,4.0,Puerto Rico has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Puerto Rico.,2024-08-13 08:21:03,https://www.travel-advisory.info/puerto-rico,Not Recommended for Travel,Puerto Rico has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Puerto Rico.
Palestinian Territory,AS,4.0,Palestinian Territory has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Palestinian Territory.,2024-08-13 08:21:03,https://www.travel-advisory.info/palestinian-territory,Not Recommended for Travel,Palestinian Territory has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Palestinian Territory.
Portugal,EU,2.8,Portugal has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Portugal.,2024-08-13 08:21:03,https://www.travel-advisory.info/portugal,Travel with Caution,Portugal has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Portugal.
Palau,OC,3.0,Palau has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Palau.,2024-08-13 08:21:03,https://www.travel-advisory.info/palau,Travel with Caution,Palau has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Palau.
Paraguay,SA,3.0,Paraguay has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Paraguay.,2024-08-13 08:21:03,https://www.travel-advisory.info/paraguay,Travel with Caution,Paraguay has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Paraguay.
Qatar,AS,3.0,Qatar has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Qatar.,2024-08-13 08:21:03,https://www.travel-advisory.info/qatar,Travel with Caution,Qatar has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Qatar.
Reunion,AF,4.0,Reunion has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Reunion.,2024-08-13 08:21:03,https://www.travel-advisory.info/reunion,Not Recommended for Travel,Reunion has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Reunion.
Romania,EU,3.2,Romania has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Romania.,2024-08-13 08:21:03,https://www.travel-advisory.info/romania,Travel with Caution,Romania has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Romania.
Serbia,EU,3.4,Serbia has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Serbia.,2024-08-13 08:21:03,https://www.travel-advisory.info/serbia,Travel with Caution,Serbia has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Serbia.
Russia,EU,4.4,Russia has a current risk level of 4.4 (out of 5). We advise: Please reconsider your need to travel to Russia.,2024-08-13 08:21:03,https://www.travel-advisory.info/russia,Not Recommended for Travel,Russia has a current risk level of 4.4 (out of 5). We advise: Please reconsider your need to travel to Russia.
Rwanda,AF,3.0,Rwanda has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Rwanda.,2024-08-13 08:21:03,https://www.travel-advisory.info/rwanda,Travel with Caution,Rwanda has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Rwanda.
Saudi Arabia,AS,3.2,Saudi Arabia has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Saudi Arabia.,2024-08-13 08:21:03,https://www.travel-advisory.info/saudi-arabia,Travel with Caution,Saudi Arabia has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Saudi Arabia.
Solomon Islands,OC,3.3,Solomon Islands has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Solomon Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/solomon-islands,Travel with Caution,Solomon Islands has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Solomon Islands.
Seychelles,AF,3.0,Seychelles has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Seychelles.,2024-08-13 08:21:03,https://www.travel-advisory.info/seychelles,Travel with Caution,Seychelles has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Seychelles.
Sudan,AF,4.7,Sudan has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Sudan.,2024-08-13 08:21:03,https://www.travel-advisory.info/sudan,Not Recommended for Travel,Sudan has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Sudan.
Sweden,EU,3.5,Sweden has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Sweden.,2024-08-13 08:21:03,https://www.travel-advisory.info/sweden,Travel with Caution,Sweden has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Sweden.
Singapore,AS,2.8,Singapore has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Singapore.,2024-08-13 08:21:03,https://www.travel-advisory.info/singapore,Travel with Caution,Singapore has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Singapore.
Saint Helena,AF,0.0,Saint Helena has a current risk level of 0 (out of 5). We advise: Travelling Saint Helena is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-helena,Safe to Travel,Saint Helena has a current risk level of 0 (out of 5). We advise: Travelling Saint Helena is (relatively) safe.
Slovenia,EU,3.0,Slovenia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Slovenia.,2024-08-13 08:21:03,https://www.travel-advisory.info/slovenia,Travel with Caution,Slovenia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Slovenia.
Svalbard and Jan Mayen,EU,0.0,Svalbard and Jan Mayen has a current risk level of 0 (out of 5). We advise: Travelling Svalbard and Jan Mayen is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/svalbard-and-jan-mayen,Safe to Travel,Svalbard and Jan Mayen has a current risk level of 0 (out of 5). We advise: Travelling Svalbard and Jan Mayen is (relatively) safe.
Slovakia,EU,3.0,Slovakia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Slovakia.,2024-08-13 08:21:03,https://www.travel-advisory.info/slovakia,Travel with Caution,Slovakia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Slovakia.
Sierra Leone,AF,3.5,Sierra Leone has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Sierra Leone.,2024-08-13 08:21:03,https://www.travel-advisory.info/sierra-leone,Travel with Caution,Sierra Leone has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Sierra Leone.
San Marino,EU,5.0,San Marino has a current risk level of 5 (out of 5). We advise: It is not safe to travel San Marino.,2024-08-13 08:21:03,https://www.travel-advisory.info/san-marino,Not Recommended for Travel,San Marino has a current risk level of 5 (out of 5). We advise: It is not safe to travel San Marino.
Senegal,AF,3.6,Senegal has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Senegal.,2024-08-13 08:21:03,https://www.travel-advisory.info/senegal,Travel with Caution,Senegal has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Senegal.
Somalia,AF,5.0,Somalia has a current risk level of 5 (out of 5). We advise: It is not safe to travel Somalia.,2024-08-13 08:21:03,https://www.travel-advisory.info/somalia,Not Recommended for Travel,Somalia has a current risk level of 5 (out of 5). We advise: It is not safe to travel Somalia.
Suriname,SA,2.5,Suriname has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Suriname.,2024-08-13 08:21:03,https://www.travel-advisory.info/suriname,Travel with Caution,Suriname has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Suriname.
South Sudan,AF,5.0,South Sudan has a current risk level of 5 (out of 5). We advise: It is not safe to travel South Sudan.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-sudan,Not Recommended for Travel,South Sudan has a current risk level of 5 (out of 5). We advise: It is not safe to travel South Sudan.
